datetime,player,scenario,level,tenant,session_id,message,neutral,negative,positive,mixed,sentiment
1704796531278839000,UptimeLabs,online-boutique,12.0,,1433.0,(ob-inc1433) UptimeLabs: Start Drill [n/a - 0],,,,,
1704796580382154000,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: Clicked Start button,,,,,
1704796580891689000,Bez,online-boutique,12.0,,1433.0,"(ob-inc1433) Bez: So, business wise, we are on target for this months sales. Having said that we are too close to the target. We need every penny of every minute to stay on course. [n/a - 0]",,,,,
1704796588295839000,Bez,online-boutique,12.0,,1433.0,(ob-inc1433) Bez: Please make sure systems are healthy so we can hit target. [n/a - 0],,,,,
1704796592270429000,Tinus,online-boutique,12.0,,1433.0,"(ob-inc1433) Tinus: Welcome to the team @shishya.shukla. everone is here to help, how are you finding things so far? [n/a - 0]",,,,,
1704796598257589000,Bob,online-boutique,12.0,,1433.0,"(ob-inc1433) Bob: @Tinus we're starting to get some mixed reports of customers not able to access the site, can your team investigate? [n/a - 0]",,,,,
1704796601274498800,Tinus,online-boutique,12.0,,1433.0,"(ob-inc1433) Tinus: Yes shishya shukla is incident manager today, shishya.shukla can you drive this? [n/a - 0]",,,,,
1704796611291659000,Bez,online-boutique,12.0,,1433.0,"(ob-inc1433) Bez: Hey folks, what is going on? I can see a big drop on payments hitting our accounts [n/a - 0]",,,,,
1704796613255289000,Tinus,online-boutique,12.0,,1433.0,(ob-inc1433) Tinus: it could be a load issue [n/a - 0],,,,,
1704796615249038800,Daniel,online-boutique,12.0,,1433.0,(ob-inc1433) Daniel: There were a few deployments this morning [n/a - 0],,,,,
1704796619255519000,Daniel,online-boutique,12.0,,1433.0,(ob-inc1433) Daniel: I'm at your service [n/a - 0],,,,,
1704796621255299000,Tanya,online-boutique,12.0,,1433.0,(ob-inc1433) Tanya: I'm online too [n/a - 0],,,,,
1704796623813599200,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: Hello could you please tell me since when it has started? [n/a - 0],,,,,
1704796631294529000,Bob,online-boutique,12.0,,1433.0,(ob-inc1433) Bob: What do I need to tell the angry customers? [n/a - 0],,,,,
1704796657287489000,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: is it happening across all regions? [n/a - 0],,,,,
1704796661418749200,Tinus,online-boutique,12.0,,1433.0,(ob-inc1433) Tinus: There's a surge in complaints from users. It's imperative you verify and confirm there's an actual issue in production right away. [n/a - 0],,,,,
1704796687958379000,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: sure we will start checking [n/a - 0],,,,,
1704796695205949200,Bob,online-boutique,12.0,,1433.0,"(ob-inc1433) Bob: Yes, customers globally are facing issues. [n/a - 0]",,,,,
1704796746920669200,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: We are observing 504 timeout error [n/a - 0],,,,,
1704796758649099000,shishya.shukla@ig.com,online-boutique,12.0,,1433.0,(ob-inc1433) shishya.shukla@ig.com: checking all the changes deployed [n/a - 0],,,,,
1704796770930629000,UptimeLabs,online-boutique,12.0,,1433.0,(ob-inc1433) UptimeLabs: :star: Reproduces the incident [n/a - 0],,,,,
1704796804091289000,shishya.shukla,online-boutique,12.0,,1433.0,(ob-business-comms1433) shishya.shukla: *Incident Number INC100016:* Website unavailable P1 [n/a - 0],,,,,
1704796917556579000,Daniel,online-boutique,12.0,,1433.0,(ob-inc1433) Daniel: The most recent changes are CHG89348 and CHG89350 according to logs. [n/a - 0],,,,,
1704796984220339000,UptimeLabs,online-boutique,12.0,,1433.0,(ob-inc1433) UptimeLabs: :star: Incident record is created [n/a - 0],,,,,
